Date,type,Name,Ticker,Open,High,Low,Volume,Multiplier
2021-09-20,Crypto,Bitcoin,BTC-USD,47261.40625,47328.19921875,42598.9140625,43909845642,4
2021-09-21,Crypto,Bitcoin,BTC-USD,43012.234375,43607.609375,39787.609375,48701090088,4
2021-09-22,Crypto,Bitcoin,BTC-USD,40677.953125,43978.62109375,40625.6328125,38139709246,4
2021-09-23,Crypto,Bitcoin,BTC-USD,43560.296875,44942.17578125,43109.33984375,34244064430,4
2021-09-24,Crypto,Bitcoin,BTC-USD,44894.30078125,45080.4921875,40936.55859375,42839345714,4
2021-09-25,Crypto,Bitcoin,BTC-USD,42840.890625,42996.2578125,41759.921875,31604717236,4
2021-09-26,Crypto,Bitcoin,BTC-USD,42721.62890625,43919.30078125,40848.4609375,30661222077,4
2021-09-27,Crypto,Bitcoin,BTC-USD,43234.18359375,44313.24609375,42190.6328125,30980029059,4
2021-09-28,Crypto,Bitcoin,BTC-USD,42200.8984375,42775.14453125,40931.6640625,30214940550,4
2021-09-29,Crypto,Bitcoin,BTC-USD,41064.984375,42545.2578125,40829.66796875,30602359905,4
2021-09-30,Crypto,Bitcoin,BTC-USD,41551.26953125,44092.6015625,41444.58203125,31141681925,4
2021-10-01,Crypto,Bitcoin,BTC-USD,43816.7421875,48436.01171875,43320.0234375,42850641582,4
2021-10-02,Crypto,Bitcoin,BTC-USD,48137.46875,48282.0625,47465.49609375,30614346492,4
2021-10-03,Crypto,Bitcoin,BTC-USD,47680.02734375,49130.69140625,47157.2890625,26638115879,4
2021-10-04,Crypto,Bitcoin,BTC-USD,48208.90625,49456.77734375,47045.00390625,33383173002,4
2021-10-05,Crypto,Bitcoin,BTC-USD,49174.9609375,51839.984375,49072.83984375,35873904236,4
2021-10-06,Crypto,Bitcoin,BTC-USD,51486.6640625,55568.46484375,50488.19140625,49034730168,4
2021-10-07,Crypto,Bitcoin,BTC-USD,55338.625,55338.625,53525.46875,36807860413,4
2021-10-08,Crypto,Bitcoin,BTC-USD,53802.14453125,55922.98046875,53688.0546875,34800873924,4
2021-10-09,Crypto,Bitcoin,BTC-USD,53929.78125,55397.9453125,53735.14453125,32491211414,4
2021-10-10,Crypto,Bitcoin,BTC-USD,54952.8203125,56401.3046875,54264.2578125,39527792364,4
2021-10-11,Crypto,Bitcoin,BTC-USD,54734.125,57793.0390625,54519.765625,42637331698,4
2021-10-12,Crypto,Bitcoin,BTC-USD,57526.83203125,57627.87890625,54477.97265625,41083758949,4
2021-10-13,Crypto,Bitcoin,BTC-USD,56038.2578125,57688.66015625,54370.97265625,41684252783,4
2021-10-14,Crypto,Bitcoin,BTC-USD,57372.83203125,58478.734375,56957.07421875,36615791366,4
2021-10-15,Crypto,Bitcoin,BTC-USD,57345.90234375,62757.12890625,56868.14453125,51780081801,4
2021-10-16,Crypto,Bitcoin,BTC-USD,61609.52734375,62274.4765625,60206.12109375,34250964237,4
2021-10-17,Crypto,Bitcoin,BTC-USD,60887.65234375,61645.5234375,59164.46875,29032367511,4
2021-10-18,Crypto,Bitcoin,BTC-USD,61548.8046875,62614.66015625,60012.7578125,38055562075,4
2021-10-19,Crypto,Bitcoin,BTC-USD,62043.1640625,64434.53515625,61622.93359375,40471196346,4
2021-10-20,Crypto,Bitcoin,BTC-USD,64284.5859375,66930.390625,63610.67578125,40788955582,4
2021-10-21,Crypto,Bitcoin,BTC-USD,66002.234375,66600.546875,62117.41015625,45908121370,4
2021-10-22,Crypto,Bitcoin,BTC-USD,62237.890625,63715.0234375,60122.796875,38434082775,4
2021-10-23,Crypto,Bitcoin,BTC-USD,60694.62890625,61743.87890625,59826.5234375,26882546034,4
2021-10-24,Crypto,Bitcoin,BTC-USD,61368.34375,61505.8046875,59643.34375,27316183882,4
2021-10-25,Crypto,Bitcoin,BTC-USD,60893.92578125,63729.32421875,60691.80078125,31064911614,4
2021-10-26,Crypto,Bitcoin,BTC-USD,63032.76171875,63229.02734375,59991.16015625,34878965587,4
2021-10-27,Crypto,Bitcoin,BTC-USD,60352.0,61435.18359375,58208.1875,43657076893,4
2021-10-28,Crypto,Bitcoin,BTC-USD,58470.73046875,62128.6328125,58206.91796875,45257083247,4
2021-10-29,Crypto,Bitcoin,BTC-USD,60624.87109375,62927.609375,60329.96484375,36856881767,4
2021-10-30,Crypto,Bitcoin,BTC-USD,62239.36328125,62330.14453125,60918.38671875,32157938616,4
2021-10-31,Crypto,Bitcoin,BTC-USD,61850.48828125,62406.171875,60074.328125,32241199927,4
2021-11-01,Crypto,Bitcoin,BTC-USD,61320.44921875,62419.00390625,59695.18359375,36150572843,4
2021-11-02,Crypto,Bitcoin,BTC-USD,60963.25390625,64242.79296875,60673.0546875,37746665647,4
2021-11-03,Crypto,Bitcoin,BTC-USD,63254.3359375,63516.9375,61184.23828125,36124731509,4
2021-11-04,Crypto,Bitcoin,BTC-USD,62941.8046875,63123.2890625,60799.6640625,32615846901,4
2021-11-05,Crypto,Bitcoin,BTC-USD,61460.078125,62541.46875,60844.609375,30605102446,4
2021-11-06,Crypto,Bitcoin,BTC-USD,61068.875,61590.68359375,60163.78125,29094934221,4
2021-11-07,Crypto,Bitcoin,BTC-USD,61554.921875,63326.98828125,61432.48828125,24726754302,4
2021-11-08,Crypto,Bitcoin,BTC-USD,63344.06640625,67673.7421875,63344.06640625,41125608330,4
2021-11-09,Crypto,Bitcoin,BTC-USD,67549.734375,68530.3359375,66382.0625,42357991721,4
2021-11-10,Crypto,Bitcoin,BTC-USD,66953.3359375,68789.625,63208.11328125,48730828378,4
2021-11-11,Crypto,Bitcoin,BTC-USD,64978.890625,65579.015625,64180.48828125,35880633236,4
2021-11-12,Crypto,Bitcoin,BTC-USD,64863.98046875,65460.81640625,62333.9140625,36084893887,4
2021-11-13,Crypto,Bitcoin,BTC-USD,64158.12109375,64915.67578125,63303.734375,30474228777,4
2021-11-14,Crypto,Bitcoin,BTC-USD,64455.37109375,65495.1796875,63647.80859375,25122092191,4
2021-11-15,Crypto,Bitcoin,BTC-USD,65521.2890625,66281.5703125,63548.14453125,30558763548,4
2021-11-16,Crypto,Bitcoin,BTC-USD,63721.1953125,63721.1953125,59016.3359375,46844335592,4
2021-11-17,Crypto,Bitcoin,BTC-USD,60139.62109375,60823.609375,58515.41015625,39178392930,4
2021-11-18,Crypto,Bitcoin,BTC-USD,60360.13671875,60948.5,56550.79296875,41388338699,4
2021-11-19,Crypto,Bitcoin,BTC-USD,56896.12890625,58351.11328125,55705.1796875,38702407772,4
2021-11-20,Crypto,Bitcoin,BTC-USD,58115.08203125,59859.87890625,57469.7265625,30624264863,4
2021-11-21,Crypto,Bitcoin,BTC-USD,59730.5078125,60004.42578125,58618.9296875,26123447605,4
2021-11-22,Crypto,Bitcoin,BTC-USD,58706.84765625,59266.359375,55679.83984375,35036121783,4
2021-11-23,Crypto,Bitcoin,BTC-USD,56304.5546875,57875.515625,55632.76171875,37485803899,4
2021-11-24,Crypto,Bitcoin,BTC-USD,57565.8515625,57803.06640625,55964.22265625,36635566789,4
2021-11-25,Crypto,Bitcoin,BTC-USD,57165.41796875,59367.96875,57146.68359375,34284016248,4
2021-11-26,Crypto,Bitcoin,BTC-USD,58960.28515625,59183.48046875,53569.765625,41810748221,4
2021-11-27,Crypto,Bitcoin,BTC-USD,53736.4296875,55329.2578125,53668.35546875,30560857714,4
2021-11-28,Crypto,Bitcoin,BTC-USD,54813.0234375,57393.84375,53576.734375,28116886357,4
2021-11-29,Crypto,Bitcoin,BTC-USD,57291.90625,58872.87890625,56792.52734375,32370840356,4
2021-11-30,Crypto,Bitcoin,BTC-USD,57830.11328125,59113.40234375,56057.28125,36708594618,4
2021-12-01,Crypto,Bitcoin,BTC-USD,56907.96484375,59041.68359375,56553.08203125,36858195307,4
2021-12-02,Crypto,Bitcoin,BTC-USD,57217.37109375,57349.234375,55895.1328125,32379968686,4
2021-12-03,Crypto,Bitcoin,BTC-USD,56509.1640625,57482.16796875,52496.5859375,39789134215,4
2021-12-04,Crypto,Bitcoin,BTC-USD,53727.87890625,53904.6796875,42874.6171875,61385677469,4
2021-12-05,Crypto,Bitcoin,BTC-USD,49201.51953125,49768.1484375,47857.49609375,37198201161,4
